id,first_name,last_name,gender,salary,department
1,Merell,Ruilton,Male,500,Finance
2,Waring,Dibbs,Female,600,Marketing
3,Dewitt,Steart,Female,700,IT
4,Thadeus,Winchcombe,Male,700,HR
5,Ford,Thorrold,Male,500,Sales
6,Verile,Edgeler,Female,600,Finance
7,Ezechiel,Siggin,Female,500,Marketing
8,Flossy,Stroobant,Female,600,IT
9,Kristian,Osborn,Male,700,HR
10,Tessie,Sisley,Male,800,Sales
11,Prentiss,Biswell,Female,500,Finance
12,Elise,Timbrell,Male,600,Marketing
13,Frieda,Butchard,Female,700,IT
14,Reinold,McSperrin,Female,600,HR
15,Powell,Mundee,Male,500,Sales
